incident_id,vehicle_id,incident_type,response_minutes,dispatch_time
INC-0406,E-19,Medical Emergency,8.23,2025-01-05 09:36:00
INC-0407,E-07,Hazmat,10.53,2025-11-25 17:33:00
INC-0408,E-32,Structure Fire,7.52,2025-09-16 14:17:00
INC-0409,E-13,Confined Space,9.31,2025-08-23 20:16:00
INC-0410,E-12,Medical Emergency,6.41,2025-06-22 09:36:00
INC-0411,E-13,Hazmat,10.72,2025-08-07 16:20:00
INC-0412,E-06,Hazmat,12.89,2025-12-09 03:11:00
INC-0413,E-09,Medical Emergency,2.7,2025-05-14 12:15:00
INC-0414,E-29,High Rise Rescue,9.33,2025-05-17 10:19:00
INC-0415,E-01,Structure Fire,8.33,2025-02-01 21:07:00
INC-0416,E-30,Vehicle Accident,10.85,2025-03-23 12:43:00
INC-0417,E-33,High Rise Rescue,13.13,2025-06-09 22:07:00
INC-0418,E-19,Vehicle Accident,6.07,2025-11-11 07:14:00
INC-0419,E-09,Water Rescue,5.77,2025-07-11 13:44:00
INC-0420,E-31,High Rise Rescue,8.88,2025-10-03 21:52:00
INC-0421,E-14,Water Rescue,8.78,2025-02-11 16:28:00
INC-0422,E-34,Confined Space,4.73,2025-07-05 02:58:00
INC-0423,E-08,Water Rescue,11.41,2025-04-14 18:34:00
INC-0424,E-10,Structure Fire,9.69,2025-06-17 16:28:00
INC-0425,E-08,Hazmat,6.82,2025-02-16 16:28:00
INC-0426,E-04,Hazmat,4.9,2025-03-09 16:26:00
INC-0427,E-30,Confined Space,5.56,2025-06-07 23:01:00
INC-0428,E-26,Vehicle Accident,7.25,2025-01-02 23:13:00
INC-0429,E-05,Medical Emergency,10.71,2025-10-05 01:59:00
INC-0430,E-05,Hazmat,9.15,2025-01-17 09:26:00
INC-0431,E-12,Confined Space,9.01,2025-11-27 13:23:00
INC-0432,E-25,Hazmat,4.27,2025-07-13 12:05:00
INC-0433,E-35,Medical Emergency,11.83,2025-04-02 17:25:00
INC-0434,E-34,Structure Fire,12.18,2025-04-25 00:48:00
INC-0435,E-02,Confined Space,11.26,2025-10-06 13:34:00
INC-0436,E-25,High Rise Rescue,8.12,2025-04-28 07:29:00
INC-0437,E-23,Confined Space,9.41,2025-02-27 01:51:00
INC-0438,E-27,Water Rescue,9.84,2025-01-09 07:13:00
INC-0439,E-05,Water Rescue,9.03,2025-12-11 22:55:00
INC-0440,E-04,Structure Fire,8.89,2025-01-23 12:28:00
INC-0441,E-15,High Rise Rescue,4.44,2025-01-29 04:32:00
INC-0442,E-19,Structure Fire,7.46,2025-10-22 10:36:00
INC-0443,E-21,Confined Space,8.92,2025-09-24 07:26:00
INC-0444,E-20,Vehicle Accident,13.59,2025-02-01 17:37:00
INC-0445,E-12,Hazmat,6.65,2025-01-25 11:41:00
INC-0446,E-25,High Rise Rescue,6.62,2025-09-26 10:44:00
INC-0447,E-27,Structure Fire,6.73,2025-10-03 15:15:00
INC-0448,E-15,Vehicle Accident,9.65,2025-12-29 04:51:00
INC-0449,E-30,Hazmat,11.26,2025-10-13 16:08:00
INC-0450,E-25,Structure Fire,6.86,2025-05-11 06:21:00
INC-0451,E-06,Medical Emergency,12.78,2025-10-02 23:53:00
INC-0452,E-13,Medical Emergency,6.23,2025-05-18 12:43:00
INC-0453,E-03,High Rise Rescue,9.63,2025-10-28 23:42:00
INC-0454,E-14,Hazmat,7.35,2025-04-17 10:19:00
INC-0455,E-01,Confined Space,8.89,2025-03-02 23:48:00
INC-0456,E-31,Structure Fire,10.08,2025-12-23 19:45:00
INC-0457,E-14,Vehicle Accident,7.03,2025-05-25 12:29:00
INC-0458,E-35,Confined Space,9.62,2025-07-03 09:16:00
INC-0459,E-24,Medical Emergency,5.58,2025-08-29 10:58:00
INC-0460,E-14,Vehicle Accident,8.26,2025-06-10 13:02:00
INC-0461,E-15,Water Rescue,8.48,2025-10-27 18:46:00
INC-0462,E-27,Vehicle Accident,8.05,2025-03-20 06:21:00
INC-0463,E-15,Hazmat,5.05,2025-10-09 20:43:00
INC-0464,E-22,Vehicle Accident,11.74,2025-09-08 23:41:00
INC-0465,E-32,Vehicle Accident,4.56,2025-03-28 04:46:00
INC-0466,E-35,Hazmat,9.49,2025-04-05 17:41:00
INC-0467,E-04,Medical Emergency,3.78,2025-12-09 01:48:00
INC-0468,E-01,Hazmat,7.78,2025-03-12 20:14:00
INC-0469,E-05,Water Rescue,8.41,2025-08-22 11:03:00
INC-0470,E-31,Confined Space,8.17,2025-09-07 00:00:00
INC-0471,E-35,Water Rescue,8.13,2025-05-21 17:18:00
INC-0472,E-02,Water Rescue,8.38,2025-12-24 21:27:00
INC-0473,E-12,Structure Fire,9.38,2025-05-04 06:39:00
INC-0474,E-34,Vehicle Accident,9.2,2025-07-01 08:50:00
INC-0475,E-26,Hazmat,14.06,2025-10-17 07:44:00
INC-0476,E-15,Vehicle Accident,11.51,2025-12-17 02:41:00
INC-0477,E-03,Water Rescue,10.53,2025-09-01 01:40:00
INC-0478,E-01,Confined Space,9.85,2025-03-29 02:31:00
INC-0479,E-28,High Rise Rescue,7.12,2025-02-18 16:58:00
INC-0480,E-03,Structure Fire,6.73,2025-04-19 22:56:00
INC-0481,E-31,Confined Space,7.75,2025-05-24 17:36:00
INC-0482,E-03,Structure Fire,14.13,2025-06-11 00:13:00
INC-0483,E-10,Hazmat,8.56,2025-02-09 09:10:00
INC-0484,E-16,Water Rescue,4.55,2025-07-19 21:57:00
INC-0485,E-35,Structure Fire,6.44,2025-12-19 23:05:00
INC-0486,E-33,Confined Space,12.16,2025-06-27 01:06:00
INC-0487,E-28,Water Rescue,8.61,2025-11-11 19:25:00
INC-0488,E-21,Medical Emergency,9.49,2025-11-21 08:50:00
INC-0489,E-29,Hazmat,6.16,2025-08-10 05:43:00
INC-0490,E-25,Medical Emergency,8.64,2025-11-13 09:51:00
INC-0491,E-16,Structure Fire,8.26,2025-07-14 22:50:00
INC-0492,E-10,Confined Space,7.49,2025-07-19 10:23:00
INC-0493,E-07,Hazmat,13.52,2025-07-04 08:06:00
INC-0494,E-09,Medical Emergency,11.75,2025-04-06 13:28:00
INC-0495,E-33,Vehicle Accident,8.02,2025-10-11 02:38:00
INC-0496,E-21,High Rise Rescue,8.82,2025-07-17 00:18:00
INC-0497,E-27,Water Rescue,7.7,2025-05-05 18:33:00
INC-0498,E-11,Confined Space,9.18,2025-07-14 05:08:00
INC-0499,E-18,Medical Emergency,7.58,2025-03-27 13:17:00
INC-0500,E-27,Vehicle Accident,11.27,2025-09-05 02:23:00
